Club,Value (in million GBP),Squad,Avg Val,Avg Age,Players from Outside,Points
Juventus FC ,996.1,59,16.88,24,25,90
Inter Milan,667.9,60,11.13,230,30,69
AC Milan,599.61,45,13.32,23.5,22,68
SSC Napoli,593.54,54,10.99,23.3,27,79
AS Roa,495.76,57,8.7,22.8,27,66
SS Lazio,395.64,57,6.94,23.4,34,59
Atalanta BC,287.99,88,3.27,21.7,29,69
ACF Fiorentina,281.58,56,5.03,22,36,41
Torino FC,223.92,62,3.61,22.8,29,63
UC Sapdoria,194.51,59,3.3,59,30,53
US Sassuolo,186.02,59,3.15,22.8,15,43
Udinese Calcio,181.37,56,3.24,23.7,41,43
Cagliari Calcio,139.94,49,2.86,24.9,19,41
Genoa CFC,122.52,69,1.78,22.8,34,38
Bologna FC 1909,115.05,48,2.4,24,27,44
SPAL,83.65,51,1.64,24.3,19,42
Para Calcio 1913  ,73.82,70,1.05,24.6,19,41
Chievo Verona,70.02,68,1.03,23.7,32,17
Frosinone Calcio  ,68.54,44,1.56,24.8,10,25
FC Epoli  ,66.46,59,1.13,23.1,24,38